@relation soybean-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-unset-class-temporarily

@attribute date {april,may,june,july,august,september,october}
@attribute plant-stand {normal,lt-normal}
@attribute precip {lt-norm,norm,gt-norm}
@attribute temp {lt-norm,norm,gt-norm}
@attribute hail {yes,no}
@attribute crop-hist {diff-lst-year,same-lst-yr,same-lst-two-yrs,same-lst-sev-yrs}
@attribute area-damaged {scattered,low-areas,upper-areas,whole-field}
@attribute severity {minor,pot-severe,severe}
@attribute seed-tmt {none,fungicide,other}
@attribute germination {90-100,80-89,lt-80}
@attribute plant-growth {norm,abnorm}
@attribute leaves {norm,abnorm}
@attribute leafspots-halo {absent,yellow-halos,no-yellow-halos}
@attribute leafspots-marg {w-s-marg,no-w-s-marg,dna}
@attribute leafspot-size {lt-1/8,gt-1/8,dna}
@attribute leaf-shread {absent,present}
@attribute leaf-malf {absent,present}
@attribute leaf-mild {absent,upper-surf,lower-surf}
@attribute stem {norm,abnorm}
@attribute lodging {yes,no}
@attribute stem-cankers {absent,below-soil,above-soil,above-sec-nde}
@attribute canker-lesion {dna,brown,dk-brown-blk,tan}
@attribute fruiting-bodies {absent,present}
@attribute external-decay {absent,firm-and-dry,watery}
@attribute mycelium {absent,present}
@attribute int-discolor {none,brown,black}
@attribute sclerotia {absent,present}
@attribute fruit-pods {norm,diseased,few-present,dna}
@attribute fruit-spots {absent,colored,brown-w/blk-specks,distort,dna}
@attribute seed {norm,abnorm}
@attribute mold-growth {absent,present}
@attribute seed-discolor {absent,present}
@attribute seed-size {norm,lt-norm}
@attribute shriveling {absent,present}
@attribute roots {norm,rotted,galls-cysts}
@attribute class {diaporthe-stem-canker,charcoal-rot,rhizoctonia-root-rot,phytophthora-rot,brown-stem-rot,powdery-mildew,downy-mildew,brown-spot,bacterial-blight,bacterial-pustule,purple-seed-stain,anthracnose,phyllosticta-leaf-spot,alternarialeaf-spot,frog-eye-leaf-spot,diaporthe-pod-&-stem-blight,cyst-nematode,2-4-d-injury,herbicide-injury}

@data
august,normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,severe,none,lt-80,abnorm,abnorm,absent,?,dna,?,absent,absent,?,yes,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,?,dna,norm,absent,absent,norm,absent,norm,diaporthe-stem-canker
october,normal,lt-norm,gt-norm,yes,same-lst-yr,whole-field,pot-severe,fungicide,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,?,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,norm,charcoal-rot
august,normal,lt-norm,norm,?,same-lst-yr,whole-field,pot-severe,fungicide,80-89,?,abnorm,absent,dna,dna,absent,absent,absent,?,no,absent,tan,?,absent,absent,black,present,norm,dna,norm,absent,?,norm,absent,norm,charcoal-rot
july,normal,lt-norm,norm,yes,same-lst-yr,upper-areas,pot-severe,none,90-100,?,abnorm,?,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,?,?,absent,black,present,?,dna,norm,absent,?,norm,absent,norm,charcoal-rot
october,normal,lt-norm,norm,?,same-lst-sev-yrs,whole-field,pot-severe,fungicide,90-100,abnorm,abnorm,?,dna,dna,absent,?,absent,?,yes,absent,tan,absent,absent,absent,black,present,norm,dna,?,absent,absent,?,absent,norm,charcoal-rot
october,normal,lt-norm,gt-norm,?,same-lst-yr,whole-field,pot-severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,?,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,?,absent,norm,absent,norm,charcoal-rot
september,normal,lt-norm,gt-norm,no,same-lst-sev-yrs,whole-field,pot-severe,fungicide,lt-80,abnorm,abnorm,absent,dna,dna,absent,?,absent,abnorm,yes,absent,tan,?,absent,?,black,present,?,dna,norm,absent,?,norm,absent,norm,charcoal-rot
october,normal,lt-norm,gt-norm,no,?,upper-areas,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,black,?,norm,dna,?,absent,absent,norm,absent,norm,charcoal-rot
august,normal,?,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,?,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,?,absent,tan,absent,absent,absent,black,?,norm,dna,norm,absent,absent,norm,absent,norm,charcoal-rot
july,normal,lt-norm,gt-norm,yes,same-lst-two-yrs,upper-areas,pot-severe,none,lt-80,abnorm,abnorm,absent,dna,dna,?,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,?,?,absent,norm,absent,norm,charcoal-rot
september,normal,lt-norm,gt-norm,no,same-lst-two-yrs,upper-areas,pot-severe,none,lt-80,abnorm,abnorm,absent,?,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,?,norm,dna,norm,absent,absent,norm,absent,?,charcoal-rot
may,lt-normal,gt-norm,lt-norm,yes,?,low-areas,severe,?,?,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,?,?,?,absent,firm-and-dry,present,none,absent,?,dna,norm,absent,absent,norm,absent,norm,rhizoctonia-root-rot
may,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,none,80-89,abnorm,norm,absent,dna,?,?,absent,absent,abnorm,yes,below-soil,brown,?,firm-and-dry,?,none,absent,dna,dna,norm,absent,?,norm,absent,norm,rhizoctonia-root-rot
july,normal,gt-norm,lt-norm,no,?,low-areas,severe,none,80-89,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,below-soil,brown,absent,firm-and-dry,present,none,absent,dna,dna,norm,absent,absent,?,?,norm,rhizoctonia-root-rot
april,lt-normal,gt-norm,lt-norm,?,diff-lst-year,low-areas,pot-severe,fungicide,lt-80,?,norm,absent,?,dna,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,?,norm,absent,norm,rhizoctonia-root-rot
april,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,fungicide,lt-80,abnorm,?,absent,dna,?,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,rhizoctonia-root-rot
may,lt-normal,gt-norm,lt-norm,yes,same-lst-sev-yrs,low-areas,?,none,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,?,?,?,?,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,?,rhizoctonia-root-rot
may,lt-normal,gt-norm,lt-norm,?,diff-lst-year,?,pot-severe,none,?,abnorm,norm,absent,dna,dna,?,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,?,absent,absent,norm,absent,norm,rhizoctonia-root-rot
june,lt-normal,?,lt-norm,yes,same-lst-two-yrs,low-areas,?,none,80-89,abnorm,norm,absent,dna,dna,?,absent,absent,abnorm,yes,below-soil,?,absent,firm-and-dry,absent,none,?,?,dna,norm,absent,absent,norm,absent,norm,?
may,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,none,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,?,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,?,norm,absent,absent,norm,absent,norm,rhizoctonia-root-rot
june,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,?,severe,none,lt-80,abnorm,norm,absent,dna,dna,absent,absent,?,abnorm,yes,below-soil,brown,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,?,norm,?,norm,rhizoctonia-root-rot
april,lt-normal,gt-norm,norm,no,?,low-areas,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,?,yes,below-soil,dk-brown-blk,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,phytophthora-rot
may,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,?,abnorm,?,dna,dna,?,absent,absent,?,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,phytophthora-rot
june,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,phytophthora-rot
may,lt-normal,gt-norm,lt-norm,yes,same-lst-two-yrs,?,severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,?,?,absent,absent,none,absent,dna,dna,norm,absent,?,norm,absent,norm,phytophthora-rot
june,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,?,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,?,abnorm,yes,above-soil,?,absent,absent,absent,none,?,norm,absent,norm,absent,absent,norm,absent,?,phytophthora-rot
july,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,?,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,?,?,norm,absent,rotted,?
april,lt-normal,norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,?,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,phytophthora-rot
july,?,gt-norm,?,yes,same-lst-two-yrs,low-areas,severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,?,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,phytophthora-rot
june,lt-normal,norm,norm,yes,diff-lst-year,?,pot-severe,none,80-89,abnorm,abnorm,absent,dna,dna,absent,?,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,?,absent,absent,norm,absent,rotted,phytophthora-rot
june,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,low-areas,severe,none,80-89,abnorm,abnorm,?,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,?,absent,norm,phytophthora-rot
june,lt-normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,?,absent,norm,absent,norm,absent,absent,norm,?,rotted,phytophthora-rot
may,lt-normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,?,absent,?,phytophthora-rot
april,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,?,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,?,dk-brown-blk,absent,absent,?,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,phytophthora-rot
april,lt-normal,norm,norm,no,same-lst-two-yrs,low-areas,severe,fungicide,90-100,abnorm,abnorm,?,dna,dna,absent,absent,absent,abnorm,no,above-soil,dk-brown-blk,absent,firm-and-dry,absent,none,absent,dna,dna,norm,?,absent,norm,absent,norm,phytophthora-rot
july,lt-normal,gt-norm,lt-norm,yes,?,low-areas,?,fungicide,90-100,abnorm,abnorm,?,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,?,absent,?,phytophthora-rot
june,lt-normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,?,norm,absent,absent,norm,absent,rotted,phytophthora-rot
april,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,?,abnorm,absent,dna,dna,absent,?,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,?,absent,dna,dna,norm,?,?,norm,?,norm,?
june,lt-normal,norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,?,?,abnorm,abnorm,?,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,?,absent,?,absent,norm,absent,absent,norm,absent,rotted,phytophthora-rot
june,lt-normal,gt-norm,?,no,same-lst-yr,?,severe,none,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,phytophthora-rot
april,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,?,abnorm,?,absent,dna,dna,absent,?,absent,abnorm,yes,below-soil,dk-brown-blk,?,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,phytophthora-rot
?,lt-normal,gt-norm,norm,yes,diff-lst-year,low-areas,severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,?,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,?,absent,norm,absent,norm,phytophthora-rot
may,lt-normal,gt-norm,norm,yes,diff-lst-year,low-areas,?,none,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,?,absent,norm,absent,absent,?,absent,rotted,phytophthora-rot
july,lt-normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,?,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,phytophthora-rot
june,lt-normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,?,absent,norm,absent,norm,absent,absent,norm,absent,rotted,phytophthora-rot
july,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,?,gt-1/8,?,absent,absent,abnorm,yes,above-soil,?,absent,absent,absent,none,absent,norm,?,?,absent,absent,norm,absent,rotted,phytophthora-rot
may,lt-normal,gt-norm,norm,no,same-lst-sev-yrs,low-areas,severe,none,80-89,abnorm,?,absent,dna,dna,absent,absent,absent,abnorm,no,below-soil,dk-brown-blk,absent,?,absent,none,absent,dna,dna,norm,absent,absent,?,absent,norm,?
july,lt-normal,norm,norm,yes,?,low-areas,pot-severe,none,80-89,abnorm,abnorm,absent,dna,?,absent,?,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,?,norm,absent,norm,absent,absent,norm,absent,rotted,phytophthora-rot
?,lt-normal,gt-norm,gt-norm,?,same-lst-yr,low-areas,pot-severe,none,80-89,?,abnorm,no-yellow-halos,?,gt-1/8,absent,?,absent,abnorm,?,above-soil,dk-brown-blk,absent,absent,?,?,absent,norm,absent,norm,absent,absent,norm,absent,rotted,phytophthora-rot
july,lt-normal,norm,gt-norm,?,?,low-areas,pot-severe,none,80-89,abnorm,?,?,dna,dna,absent,absent,absent,abnorm,?,above-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,?,rotted,phytophthora-rot
may,?,gt-norm,gt-norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,?,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,?,?,norm,absent,rotted,phytophthora-rot
june,lt-normal,?,gt-norm,?,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,?,norm,absent,absent,norm,absent,rotted,phytophthora-rot
july,lt-normal,norm,norm,yes,diff-lst-year,low-areas,pot-severe,none,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,?,rotted,phytophthora-rot
june,lt-normal,gt-norm,lt-norm,yes,?,low-areas,severe,none,90-100,abnorm,abnorm,absent,?,dna,absent,?,absent,abnorm,yes,below-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,phytophthora-rot
july,lt-normal,norm,norm,yes,?,low-areas,pot-severe,none,80-89,abnorm,abnorm,absent,dna,dna,?,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,?,norm,absent,rotted,phytophthora-rot
june,lt-normal,gt-norm,gt-norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,?,below-soil,dk-brown-blk,absent,absent,absent,none,?,norm,absent,?,absent,absent,norm,absent,rotted,phytophthora-rot
may,lt-normal,gt-norm,lt-norm,yes,?,low-areas,severe,fungicide,90-100,abnorm,abnorm,absent,dna,dna,absent,?,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,?,dna,norm,absent,absent,norm,?,norm,phytophthora-rot
july,?,gt-norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,phytophthora-rot
july,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,?,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,?,none,?,norm,absent,norm,absent,absent,norm,absent,rotted,phytophthora-rot
?,lt-normal,norm,lt-norm,yes,same-lst-two-yrs,low-areas,severe,fungicide,lt-80,?,abnorm,absent,dna,dna,absent,absent,absent,abnorm,?,above-soil,dk-brown-blk,absent,absent,absent,?,?,dna,dna,norm,?,absent,norm,absent,norm,?
july,?,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,?,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,phytophthora-rot
august,normal,?,norm,yes,same-lst-yr,whole-field,pot-severe,?,lt-80,norm,abnorm,absent,dna,dna,absent,?,absent,abnorm,yes,absent,?,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,?
august,normal,lt-norm,norm,yes,same-lst-yr,whole-field,pot-severe,?,lt-80,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,?,absent,absent,absent,brown,?,norm,absent,norm,absent,absent,norm,absent,norm,?
july,lt-normal,lt-norm,lt-norm,yes,same-lst-sev-yrs,scattered,pot-severe,fungicide,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,brown,absent,norm,?,norm,absent,absent,norm,absent,?,brown-stem-rot
september,normal,lt-norm,gt-norm,yes,same-lst-yr,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,?,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,?
september,?,lt-norm,gt-norm,?,same-lst-two-yrs,whole-field,pot-severe,fungicide,?,norm,abnorm,absent,dna,dna,absent,absent,?,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,brown-stem-rot
?,normal,lt-norm,?,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,?,?,absent,brown,absent,norm,?,norm,absent,absent,norm,absent,norm,?
september,normal,lt-norm,norm,no,same-lst-sev-yrs,whole-field,pot-severe,none,lt-80,abnorm,?,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,brown-stem-rot
october,normal,norm,norm,?,same-lst-two-yrs,scattered,pot-severe,?,?,abnorm,norm,absent,dna,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,?,absent,norm,brown-stem-rot
september,lt-normal,lt-norm,lt-norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,90-100,?,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,?,absent,absent,absent,brown,absent,norm,dna,norm,absent,?,norm,absent,norm,brown-stem-rot
september,lt-normal,lt-norm,norm,yes,same-lst-yr,whole-field,pot-severe,fungicide,?,abnorm,?,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,?,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,brown-stem-rot
august,normal,norm,lt-norm,?,same-lst-two-yrs,whole-field,pot-severe,fungicide,lt-80,abnorm,?,?,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,?,norm,dna,norm,absent,absent,?,absent,norm,brown-stem-rot
august,lt-normal,lt-norm,lt-norm,yes,?,upper-areas,pot-severe,fungicide,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,?,no,absent,tan,?,absent,absent,?,absent,?,dna,norm,absent,absent,norm,absent,norm,brown-stem-rot
august,normal,lt-norm,?,yes,same-lst-two-yrs,scattered,pot-severe,fungicide,90-100,norm,abnorm,absent,dna,dna,absent,?,?,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,?,brown-stem-rot
july,lt-normal,?,lt-norm,yes,same-lst-two-yrs,scattered,severe,none,80-89,?,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,brown,absent,?,dna,norm,absent,?,norm,?,norm,brown-stem-rot
september,normal,lt-norm,norm,yes,same-lst-sev-yrs,?,pot-severe,none,80-89,?,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,?,absent,absent,absent,brown,absent,norm,?,norm,absent,absent,norm,absent,norm,brown-stem-rot
august,normal,lt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,90-100,?,abnorm,?,dna,dna,absent,absent,absent,abnorm,?,absent,dna,?,?,absent,brown,absent,norm,absent,norm,absent,absent,?,absent,norm,brown-stem-rot
