@relation liver-disorders

@attribute mcv {FALSE,TRUE}
@attribute alkphos {FALSE,TRUE}
@attribute sgpt {FALSE,TRUE}
@attribute sgot {FALSE,TRUE}
@attribute gammagt {FALSE,TRUE}
@attribute drinks {FALSE,TRUE}
@attribute selector {1,2}

@data
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,2
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,2
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,2
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
